record_id,case_id,subscriber_msisdn,private_ip,public_ip,dest_ip,dest_port,start_time,end_time,bytes_up,bytes_down,imei,access_type,source_file
IPDR-00037,CASE_004,9999900103,10.14.7.22,203.0.113.13,198.51.100.7,443,2026-08-16T02:45:00+00:00,2026-08-16T03:01:00+00:00,4379,57557,356938035643103,4G,ipdr.csv
IPDR-00038,CASE_004,9999900102,10.14.7.22,203.0.113.12,198.51.100.7,443,2026-08-16T03:55:00+00:00,2026-08-16T04:10:00+00:00,6304,79058,356938035643102,4G,ipdr.csv
IPDR-00039,CASE_004,9999900102,10.14.7.22,203.0.113.12,198.51.100.7,443,2026-08-16T05:05:00+00:00,2026-08-16T05:25:00+00:00,10430,64457,356938035643102,4G,ipdr.csv
IPDR-00040,CASE_004,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-16T06:15:00+00:00,2026-08-16T06:21:00+00:00,7547,37013,356938035643106,4G,ipdr.csv
IPDR-00041,CASE_004,9999900102,10.14.7.22,203.0.113.12,198.51.100.7,443,2026-08-16T07:25:00+00:00,2026-08-16T07:34:00+00:00,7558,28482,356938035643102,4G,ipdr.csv
IPDR-00042,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-15T18:05:00+00:00,2026-08-15T18:14:00+00:00,3621,33173,356938035643106,4G,ipdr.csv
IPDR-00043,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-16T18:05:00+00:00,2026-08-16T18:14:00+00:00,4610,32272,356938035643106,4G,ipdr.csv
IPDR-00044,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-17T18:05:00+00:00,2026-08-17T18:14:00+00:00,5968,21717,356938035643106,4G,ipdr.csv
IPDR-00045,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-18T18:05:00+00:00,2026-08-18T18:14:00+00:00,4881,34348,356938035643106,4G,ipdr.csv
IPDR-00046,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-19T18:05:00+00:00,2026-08-19T18:14:00+00:00,5231,29000,356938035643106,4G,ipdr.csv
IPDR-00047,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-20T18:05:00+00:00,2026-08-20T18:14:00+00:00,4898,32767,356938035643106,4G,ipdr.csv
IPDR-00048,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-21T18:05:00+00:00,2026-08-21T18:14:00+00:00,5482,23659,356938035643106,4G,ipdr.csv
IPDR-00049,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-22T18:05:00+00:00,2026-08-22T18:14:00+00:00,4924,26472,356938035643106,4G,ipdr.csv
IPDR-00050,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-23T18:05:00+00:00,2026-08-23T18:14:00+00:00,4334,18024,356938035643106,4G,ipdr.csv
IPDR-00051,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-24T18:05:00+00:00,2026-08-24T18:14:00+00:00,5939,19730,356938035643106,4G,ipdr.csv
IPDR-00052,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-25T18:05:00+00:00,2026-08-25T18:14:00+00:00,3371,38512,356938035643106,4G,ipdr.csv
IPDR-00053,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-26T18:05:00+00:00,2026-08-26T18:14:00+00:00,5737,36277,356938035643106,4G,ipdr.csv
IPDR-00054,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-27T18:05:00+00:00,2026-08-27T18:14:00+00:00,5813,35561,356938035643106,4G,ipdr.csv
IPDR-00055,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-28T18:05:00+00:00,2026-08-28T18:14:00+00:00,3242,38933,356938035643106,4G,ipdr.csv
IPDR-00056,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-29T18:05:00+00:00,2026-08-29T18:14:00+00:00,5762,24783,356938035643106,4G,ipdr.csv
IPDR-00057,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-30T18:05:00+00:00,2026-08-30T18:14:00+00:00,4120,24085,356938035643106,4G,ipdr.csv
IPDR-00058,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-08-31T18:05:00+00:00,2026-08-31T18:14:00+00:00,5180,29971,356938035643106,4G,ipdr.csv
IPDR-00059,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-01T18:05:00+00:00,2026-09-01T18:14:00+00:00,3737,37862,356938035643106,4G,ipdr.csv
IPDR-00060,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-02T18:05:00+00:00,2026-09-02T18:14:00+00:00,4852,24771,356938035643106,4G,ipdr.csv
IPDR-00061,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-03T18:05:00+00:00,2026-09-03T18:14:00+00:00,3786,37314,356938035643106,4G,ipdr.csv
IPDR-00062,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-04T18:05:00+00:00,2026-09-04T18:14:00+00:00,3622,33659,356938035643106,4G,ipdr.csv
IPDR-00063,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-05T18:05:00+00:00,2026-09-05T18:14:00+00:00,5063,38451,356938035643106,4G,ipdr.csv
IPDR-00064,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-06T18:05:00+00:00,2026-09-06T18:14:00+00:00,5686,30521,356938035643106,4G,ipdr.csv
IPDR-00065,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-07T18:05:00+00:00,2026-09-07T18:14:00+00:00,5914,33962,356938035643106,4G,ipdr.csv
IPDR-00066,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-08T18:05:00+00:00,2026-09-08T18:14:00+00:00,5252,18826,356938035643106,4G,ipdr.csv
IPDR-00067,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-09T18:05:00+00:00,2026-09-09T18:14:00+00:00,5612,30632,356938035643106,4G,ipdr.csv
IPDR-00068,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-10T18:05:00+00:00,2026-09-10T18:14:00+00:00,4614,29978,356938035643106,4G,ipdr.csv
IPDR-00069,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-11T18:05:00+00:00,2026-09-11T18:14:00+00:00,4445,20254,356938035643106,4G,ipdr.csv
IPDR-00070,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-12T18:05:00+00:00,2026-09-12T18:14:00+00:00,4252,30432,356938035643106,4G,ipdr.csv
IPDR-00071,CASE_003,9999900106,10.14.7.22,203.0.113.16,198.51.100.7,443,2026-09-13T18:05:00+00:00,2026-09-13T18:14:00+00:00,4945,30799,356938035643106,4G,ipdr.csv
IPDR-00072,CASE_005,9999900101,10.14.7.22,203.0.113.11,198.51.100.7,443,2026-08-15T11:00:00+00:00,2026-08-15T11:08:00+00:00,5200,31000,356938035643101,4G,ipdr.csv
IPDR-00073,CASE_005,9999900901,10.14.7.31,203.0.113.11,198.51.100.7,443,2026-08-15T11:06:00+00:00,2026-08-15T11:14:00+00:00,4100,28000,356938035643101,4G,ipdr.csv
IPDR-00074,CASE_007,,10.14.7.40,,198.51.100.9,443,2026-08-15T10:00:00+00:00,,,12000,,4G,ipdr.csv
