txn_id,case_id,payer_account,payee_account,payer_upi,payee_upi,amount_inr,txn_type,timestamp,channel,ifsc,source_file
TXN-00011,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-16T13:12:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00012,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,49000.00,UPI,2026-08-16T17:14:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00013,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,49000.00,UPI,2026-08-16T21:11:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00014,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,50000.00,UPI,2026-08-17T01:06:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00015,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-17T05:14:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00016,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-17T09:08:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00017,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,50000.00,UPI,2026-08-17T13:08:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00018,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,50000.00,UPI,2026-08-17T17:10:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00019,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,50000.00,UPI,2026-08-17T21:10:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00020,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-18T01:11:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00021,CASE_002,AXIS0004400104,PUNB0005500105,subjectd@upi,subjecte@upi,48500.00,UPI,2026-08-18T05:10:00+00:00,MOBILE,PUNB0001234,bank.csv
TXN-00022,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-15T18:09:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00023,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-16T18:12:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00024,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-17T18:09:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00025,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-18T18:08:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00026,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-19T18:05:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00027,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-20T18:06:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00028,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-21T18:12:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00029,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-22T18:12:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00030,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-23T18:08:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00031,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-24T18:05:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00032,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-25T18:05:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00033,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-26T18:07:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00034,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-27T18:07:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00035,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-28T18:06:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00036,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-29T18:09:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00037,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-30T18:05:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00038,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-08-31T18:05:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00039,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-01T18:07:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00040,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-02T18:12:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00041,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-03T18:07:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00042,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-04T18:11:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00043,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-05T18:06:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00044,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-06T18:08:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00045,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-07T18:09:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00046,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-08T18:08:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00047,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-09T18:09:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00048,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-10T18:05:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00049,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-11T18:06:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00050,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-12T18:06:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00051,CASE_003,KKBK0006600106,ICIC0001100101,subjectf@upi,subjecta@upi,15000.00,NEFT,2026-09-13T18:06:00+00:00,MOBILE,ICIC0001234,bank.csv
TXN-00052,CASE_005,ICIC0001100101,SBIN0003300103,subjecta@upi,subjectc@upi,7500.00,UPI,2026-08-15T12:20:00+00:00,MOBILE,SBIN0001234,bank.csv
TXN-00053,CASE_006,ICIC0001100101,HDFC0002200102,subjecta@upi,subjectb@upi,NOT_A_NUMBER,UPI,2026-08-15T09:40:00+00:00,MOBILE,HDFC0001234,bank.csv
TXN-00054,CASE_006,ICIC0001100101,HDFC0002200102,subjecta@upi,subjectb@upi,-9000.00,UPI,2026-08-15T09:45:00+00:00,MOBILE,HDFC0001234,bank.csv
